metodo_1,metodo_2,ARI
kmeans_K=5,"leiden_k_nn=10, res=1.5",0.16127930373408172
"leiden_k_nn=10, res=2.0",gmm_K=4,0.16100385472407006
"leiden_k_nn=10, res=0.5",gmm_K=2,0.16031098498285443
aggl_K=5,gmm_K=3,0.15842378593207435
kmeans_K=5,gmm_K=4,0.1561762149445454
aggl_K=6,gmm_K=4,0.1553910036787344
"leiden_k_nn=10, res=1.0","leiden_k_nn=20, res=2.0",0.15525090901683591
aggl_K=7,"leiden_k_nn=10, res=1.5",0.15344567326946182
aggl_K=7,gmm_K=4,0.152999152999153
aggl_K=6,"leiden_k_nn=10, res=1.5",0.15239320930408615
kmeans_K=4,gmm_K=5,0.15130407364011939
aggl_K=6,"leiden_k_nn=15, res=1.5",0.15130192655027092
aggl_K=7,"leiden_k_nn=20, res=1.5",0.14989655820951664
aggl_K=6,"leiden_k_nn=20, res=1.5",0.14891978280124774
kmeans_K=4,"leiden_k_nn=10, res=1.0",0.14842949843112702
kmeans_K=6,gmm_K=3,0.14839652912822315
aggl_K=3,gmm_K=2,0.1479318073762141
aggl_K=7,"leiden_k_nn=15, res=1.5",0.1474767270945615
"leiden_k_nn=20, res=2.0",gmm_K=8,0.14568642160540135
kmeans_K=7,aggl_K=3,0.1452881268531649
aggl_K=3,aggl_K=8,0.14493534406970152
kmeans_K=3,gmm_K=5,0.14225010765469356
kmeans_K=4,"leiden_k_nn=10, res=2.0",0.14163165496683217
kmeans_K=8,aggl_K=3,0.1410228771253944
aggl_K=6,"leiden_k_nn=15, res=2.0",0.1403709324556044
aggl_K=6,gmm_K=3,0.13981948414865256
kmeans_K=8,gmm_K=2,0.1397920755317456
kmeans_K=3,"leiden_k_nn=10, res=0.5",0.13970623574341284
"leiden_k_nn=15, res=1.5",gmm_K=4,0.13769088345705016
aggl_K=7,gmm_K=3,0.13729176458300696
kmeans_K=3,"leiden_k_nn=10, res=2.0",0.13654344682643416
aggl_K=7,"leiden_k_nn=15, res=2.0",0.1360996116941048
"leiden_k_nn=20, res=2.0",gmm_K=6,0.13479359730412804
kmeans_K=4,"leiden_k_nn=15, res=2.0",0.13349979258370542
aggl_K=6,gmm_K=5,0.13339351433928198
aggl_K=5,gmm_K=7,0.13291464725958016
kmeans_K=3,"leiden_k_nn=20, res=1.0",0.13240455522178413
aggl_K=4,gmm_K=7,0.13164058548428514
aggl_K=6,"leiden_k_nn=10, res=2.0",0.1314682578499462
kmeans_K=6,gmm_K=7,0.1307342326419376
aggl_K=7,gmm_K=5,0.13023833728679543
kmeans_K=5,"leiden_k_nn=20, res=1.5",0.13005120574382492
"leiden_k_nn=10, res=0.5",gmm_K=3,0.12995195190748707
aggl_K=7,"leiden_k_nn=10, res=2.0",0.12979773849339066
"leiden_k_nn=10, res=2.0",gmm_K=2,0.1290876701870467
kmeans_K=3,"leiden_k_nn=15, res=2.0",0.1287236561275277
gmm_K=2,gmm_K=5,0.12824517936012064
kmeans_K=2,aggl_K=6,0.12733051852554675
aggl_K=2,aggl_K=6,0.12733051852554675
aggl_K=2,aggl_K=7,0.12681912681912683
kmeans_K=2,aggl_K=7,0.12681912681912683
aggl_K=8,gmm_K=2,0.12680379494538788
"leiden_k_nn=20, res=1.0",gmm_K=2,0.12621497186380948
aggl_K=5,gmm_K=6,0.12564070508813602
kmeans_K=7,"leiden_k_nn=10, res=0.5",0.12544824111667605
"leiden_k_nn=20, res=1.0",gmm_K=8,0.1250519318653926
aggl_K=4,gmm_K=6,0.12435233160621761
kmeans_K=4,"leiden_k_nn=10, res=0.5",0.12427488141145326
aggl_K=7,gmm_K=7,0.12255045334893244
kmeans_K=6,gmm_K=6,0.1224675206686654
kmeans_K=5,gmm_K=5,0.12146649869903575
"leiden_k_nn=15, res=2.0",gmm_K=4,0.12143707046988268
aggl_K=6,gmm_K=7,0.12133740787344957
aggl_K=2,gmm_K=4,0.11910346624967423
kmeans_K=2,gmm_K=4,0.11910346624967423
"leiden_k_nn=15, res=1.5",gmm_K=2,0.11798218355085975
aggl_K=6,gmm_K=6,0.11765759312320917
"leiden_k_nn=20, res=2.0",gmm_K=7,0.11697763190753095
kmeans_K=4,"leiden_k_nn=20, res=1.0",0.11661286761418689
kmeans_K=3,"leiden_k_nn=10, res=1.5",0.1164926099074698
kmeans_K=4,"leiden_k_nn=15, res=1.5",0.11512744030874059
kmeans_K=4,"leiden_k_nn=10, res=1.5",0.11506471336432701
kmeans_K=7,"leiden_k_nn=20, res=2.0",0.1145820798536738
aggl_K=7,gmm_K=6,0.11421911421911422
"leiden_k_nn=20, res=1.5",gmm_K=3,0.1140165628685059
aggl_K=3,gmm_K=7,0.11362401994234546
"leiden_k_nn=15, res=2.0",gmm_K=2,0.11043606199741254
kmeans_K=5,aggl_K=2,0.10985634248437443
kmeans_K=2,kmeans_K=5,0.10985634248437443
"leiden_k_nn=20, res=1.5",gmm_K=5,0.10959884598020107
kmeans_K=3,"leiden_k_nn=15, res=1.5",0.10909039998879975
"leiden_k_nn=20, res=2.0",gmm_K=5,0.10563371567863197
aggl_K=3,gmm_K=6,0.10540449815374286
"leiden_k_nn=10, res=1.5",gmm_K=2,0.10442653857080138
aggl_K=3,gmm_K=8,0.10354687929612318
kmeans_K=6,aggl_K=2,0.10326730848552397
kmeans_K=2,kmeans_K=6,0.10326730848552397
hdbscan_min_cluster_size=3,"leiden_k_nn=10, res=0.5",0.10127064286321642
hdbscan_min_cluster_size=3,"leiden_k_nn=20, res=1.0",0.1008841705651019
"leiden_k_nn=20, res=1.0","leiden_k_nn=20, res=2.0",0.09929515848940962
"leiden_k_nn=10, res=0.5",gmm_K=5,0.09648641839925312
aggl_K=6,"leiden_k_nn=20, res=2.0",0.09494690740817253
aggl_K=8,"leiden_k_nn=20, res=2.0",0.09346298926143573
aggl_K=7,"leiden_k_nn=20, res=2.0",0.09011373578302712
aggl_K=3,gmm_K=5,0.08959462049021828
kmeans_K=7,"leiden_k_nn=20, res=1.0",0.0893684329454299
"leiden_k_nn=10, res=0.5","leiden_k_nn=20, res=2.0",0.08922912507514305
"leiden_k_nn=20, res=2.0",gmm_K=3,0.08664962022216885
kmeans_K=6,"leiden_k_nn=20, res=2.0",0.08487884120752674
kmeans_K=5,"leiden_k_nn=20, res=2.0",0.08419675921594068
kmeans_K=8,"leiden_k_nn=20, res=2.0",0.08297584973792312
"leiden_k_nn=10, res=0.5",gmm_K=8,0.08257968865826538
"leiden_k_nn=20, res=1.5",gmm_K=6,0.0819474572186069
aggl_K=2,aggl_K=8,0.07929535165179973
kmeans_K=2,aggl_K=8,0.07929535165179973
aggl_K=2,gmm_K=3,0.0781003657936226
kmeans_K=2,gmm_K=3,0.0781003657936226
"leiden_k_nn=20, res=1.5",gmm_K=7,0.07785124470581066
"leiden_k_nn=20, res=1.5",gmm_K=4,0.0775800344456127
"leiden_k_nn=20, res=1.0",gmm_K=5,0.07728955833380598
kmeans_K=2,kmeans_K=8,0.07708118141159075
kmeans_K=8,aggl_K=2,0.07708118141159075
kmeans_K=2,gmm_K=5,0.07286291780326684
aggl_K=2,gmm_K=5,0.07286291780326684
"leiden_k_nn=20, res=1.0",gmm_K=3,0.07224611852133407
"leiden_k_nn=20, res=1.5",gmm_K=2,0.07219004664035672
kmeans_K=3,"leiden_k_nn=20, res=1.5",0.07142371824242984
"leiden_k_nn=20, res=2.0",gmm_K=4,0.07032803680118921
kmeans_K=4,"leiden_k_nn=20, res=2.0",0.06987761272535055
kmeans_K=3,"leiden_k_nn=20, res=2.0",0.06905393715615342
aggl_K=3,gmm_K=4,0.06751245585189085
kmeans_K=4,"leiden_k_nn=20, res=1.5",0.06716030343521194
kmeans_K=7,aggl_K=2,0.06696497795893051
kmeans_K=2,kmeans_K=7,0.06696497795893051
"leiden_k_nn=10, res=0.5",gmm_K=4,0.06564469627716074
"leiden_k_nn=20, res=2.0",gmm_K=2,0.06375939101447833
"leiden_k_nn=10, res=0.5",gmm_K=6,0.05380966498665876
kmeans_K=2,gmm_K=7,0.053018263293645625
aggl_K=2,gmm_K=7,0.053018263293645625
hdbscan_min_cluster_size=5,"leiden_k_nn=10, res=0.5",0.048413961716444645
aggl_K=2,gmm_K=8,0.04751154438173422
kmeans_K=2,gmm_K=8,0.04751154438173422
"leiden_k_nn=10, res=0.5",gmm_K=7,0.04413890227180076
aggl_K=2,gmm_K=6,0.04399748585795098
kmeans_K=2,gmm_K=6,0.04399748585795098
"leiden_k_nn=20, res=1.0",gmm_K=6,0.04219548376462832
hdbscan_min_cluster_size=3,"leiden_k_nn=10, res=1.5",0.04067990782743189
aggl_K=3,gmm_K=3,0.035163296191960555
hdbscan_min_cluster_size=3,"leiden_k_nn=10, res=2.0",0.03260422395537868
hdbscan_min_cluster_size=4,"leiden_k_nn=10, res=0.5",0.03176467980404762
aggl_K=5,"leiden_k_nn=10, res=2.0",0.030754179876277134
aggl_K=4,"leiden_k_nn=10, res=2.0",0.030139259607370884
"leiden_k_nn=20, res=1.0",gmm_K=7,0.02950224002312282
hdbscan_min_cluster_size=3,"leiden_k_nn=10, res=1.0",0.028039131733187495
hdbscan_min_cluster_size=3,"leiden_k_nn=15, res=1.5",0.027709884216260004
hdbscan_min_cluster_size=4,"leiden_k_nn=20, res=1.5",0.026957582227297695
hdbscan_min_cluster_size=3,"leiden_k_nn=20, res=1.5",0.026844996168475854
hdbscan_min_cluster_size=4,"leiden_k_nn=20, res=2.0",0.0251644840277549
hdbscan_min_cluster_size=3,"leiden_k_nn=15, res=2.0",0.023211525937944042
