k_anios,rep_id,COD_HOSPITAL,variable,error_relativo
1,0,116110,mortalidad_media,0.1047020224977305
1,0,116110,tasa_cma,0.23204624337409194
1,0,117101,egresos_por_anio,0.18957212702847354
1,0,117101,estancia_media,0.051705753123093647
1,0,117101,peso_medio_grd,0.1438837443969192
1,0,117101,severidad_media,0.14815981293770353
1,0,117101,mortalidad_media,0.11647034762911947
1,0,117101,tasa_cma,0.12097381425912068
1,0,117102,egresos_por_anio,0.1335479914136768
1,0,117102,estancia_media,0.1450342020905956
1,0,117102,peso_medio_grd,0.1400418608965127
1,0,117102,severidad_media,0.13116655765711874
1,0,117102,mortalidad_media,0.10680653703917062
1,0,117102,tasa_cma,0.1458266683539042
1,0,118100,egresos_por_anio,0.2557305437406598
1,0,118100,estancia_media,0.1391091655185017
1,0,118100,peso_medio_grd,0.13720886106281618
1,0,118100,severidad_media,0.11147789348296376
1,0,118100,mortalidad_media,0.10145433785434355
1,0,118100,tasa_cma,0.10557194265750532
1,0,118105,egresos_por_anio,0.14082136445242377
1,0,118105,estancia_media,0.08743294797809742
1,0,118105,peso_medio_grd,0.12824681997775805
1,0,118105,severidad_media,0.10740121423754684
1,0,118105,mortalidad_media,0.09559756132830578
1,0,118105,tasa_cma,0.3858922077624313
1,0,119100,egresos_por_anio,0.21529323153822444
1,0,119100,estancia_media,0.12634098039698416
1,0,119100,peso_medio_grd,0.09622734175844545
1,0,119100,severidad_media,0.017056131379383006
1,0,119100,mortalidad_media,0.055219638059205545
1,0,119100,tasa_cma,0.31104418586446153
1,0,120101,egresos_por_anio,0.2203311931588696
1,0,120101,estancia_media,0.17630849508426458
1,0,120101,peso_medio_grd,0.15532395893721657
1,0,120101,severidad_media,0.1184661366476444
1,0,120101,mortalidad_media,0.08475211143010057
1,0,120101,tasa_cma,0.20006872347738888
1,0,121109,egresos_por_anio,0.33152783844628886
1,0,121109,estancia_media,0.1464638054548967
1,0,121109,peso_medio_grd,0.11357283786993048
1,0,121109,severidad_media,0.05346094623037164
1,0,121109,mortalidad_media,0.05200578353691798
1,0,121109,tasa_cma,0.46241423645388835
1,0,121110,egresos_por_anio,0.3048629967909159
1,0,121110,estancia_media,0.22499487293418127
1,0,121110,peso_medio_grd,0.06034420503737906
1,0,121110,severidad_media,0.13250103426804494
1,0,121110,mortalidad_media,0.08199971189101096
1,0,121110,tasa_cma,0.13988974202046567
1,0,121114,egresos_por_anio,0.15962390576029395
1,0,121114,estancia_media,0.17309553046206452
1,0,121114,peso_medio_grd,0.09056757459312154
1,0,121114,severidad_media,0.14599200520190328
1,0,121114,mortalidad_media,0.12598716115431044
1,0,121114,tasa_cma,0.01617163215422303
1,0,121117,egresos_por_anio,0.1887359198998748
1,0,121117,estancia_media,0.2139075917495758
1,0,121117,peso_medio_grd,0.1161589782496665
1,0,121117,severidad_media,0.10966588872779715
1,0,121117,mortalidad_media,0.10305833479679757
1,0,121117,tasa_cma,0.3816576891337922
1,0,121121,egresos_por_anio,0.22027550043697194
1,0,121121,estancia_media,0.09769616698391387
1,0,121121,peso_medio_grd,0.03551288044222718
1,0,121121,severidad_media,0.060521509881401765
1,0,121121,mortalidad_media,0.03839514808197116
1,0,121121,tasa_cma,0.637917511725187
1,0,122100,egresos_por_anio,0.2130571739191035
1,0,122100,estancia_media,0.15726340095088157
1,0,122100,peso_medio_grd,0.09605886662377082
1,0,122100,severidad_media,0.06426204623270708
1,0,122100,mortalidad_media,0.04831104363613095
1,0,122100,tasa_cma,0.08898183958599816
1,0,123100,egresos_por_anio,0.26560979565358406
