replica,variable,p_valor_ajustado_BH
8,egresos_por_anio,0.3567995604355399
8,estancia_media,0.0012854167473193652
8,estancia_mediana,0.01512095006507385
8,peso_medio_grd,0.001745684700046325
8,severidad_media,6.522650237793866e-05
8,mortalidad_media,0.0023686646068181477
8,entropia_grd,0.0011691599719273213
8,comorbilidades_promedio,0.0012854167473193652
8,tasa_cma,0.10885191344960116
8,peso_medio_cma,0.0784334763188499
8,pct_pediatrico,2.1487958107112765e-07
8,pct_geriatrico,4.797233852594042e-07
8,pct_femenino_fertil,0.00035641997681988314
8,edad_mediana,8.788402005563649e-06
8,pct_urgencia,2.1487958107112765e-07
8,pct_programada,2.5197030196579856e-06
8,pct_obstetrica_ingreso,0.0011425816029459628
8,pct_alta_domicilio,1.3442043676713917e-05
8,pct_alta_fallecido,4.546310174431857e-07
8,pct_alta_traslado,0.1817424250942965
8,pct_origen_emergencia,0.0001616549075110923
8,pct_origen_referencia,0.45284593958638614
8,pct_uso_pabellon,0.0040825375693029275
8,pabellones_promedio,0.007402198957018362
8,tasa_partos,0.00019398714838892862
8,tasa_prematurez,0.6666079751230807
8,cv_estancia,0.07454002265253261
8,pct_estancia_larga,0.002857934892257414
9,egresos_por_anio,0.026004050203192845
9,estancia_media,4.254866654930652e-05
9,estancia_mediana,4.8624564388955514e-05
9,peso_medio_grd,0.00014419828226581825
9,severidad_media,4.680566799903015e-05
9,mortalidad_media,0.00041018191598461245
9,entropia_grd,0.763334140332794
9,comorbilidades_promedio,0.00041018191598461245
9,tasa_cma,0.12795375051738198
9,peso_medio_cma,0.0032685415237333044
9,pct_pediatrico,4.9731572947240393e-08
9,pct_geriatrico,4.116326435639258e-08
9,pct_femenino_fertil,2.6741755864645106e-05
9,edad_mediana,1.1331865894029876e-08
9,pct_urgencia,0.013811205546746362
9,pct_programada,0.01807180346794134
9,pct_obstetrica_ingreso,2.338264940904262e-05
9,pct_alta_domicilio,0.0009583787080925846
9,pct_alta_fallecido,0.0007962065364066679
9,pct_alta_traslado,8.244999883439793e-05
9,pct_origen_emergencia,0.005648987962314268
9,pct_origen_referencia,0.0004273154630041574
9,pct_uso_pabellon,0.12562768482481088
9,pabellones_promedio,0.20260112648531248
9,tasa_partos,4.5296803748142906e-05
9,tasa_prematurez,0.005717932152789483
9,cv_estancia,0.07695505424480116
9,pct_estancia_larga,0.00012151254061456228
10,egresos_por_anio,0.02242637376628838
10,estancia_media,0.001449840329155948
10,estancia_mediana,0.0015361052632845635
10,peso_medio_grd,0.0005213449313693153
10,severidad_media,0.00029124122004063526
10,mortalidad_media,1.4993401752523936e-05
10,entropia_grd,2.24436939873013e-05
10,comorbilidades_promedio,0.11648560499331495
10,tasa_cma,0.0008612485961414188
10,peso_medio_cma,0.0007246664891952913
10,pct_pediatrico,3.0001418307150713e-07
10,pct_geriatrico,1.0066613443687176e-08
10,pct_femenino_fertil,3.512080432737532e-06
10,edad_mediana,2.714513245782243e-08
10,pct_urgencia,0.09820804751176808
10,pct_programada,0.29822082288347407
10,pct_obstetrica_ingreso,8.9084403037083e-06
10,pct_alta_domicilio,0.07739824545087455
10,pct_alta_fallecido,1.178477791491555e-05
10,pct_alta_traslado,0.20311200365654136
10,pct_origen_emergencia,0.9802032132611845
10,pct_origen_referencia,0.27036449211891384
10,pct_uso_pabellon,0.010423236343164
10,pabellones_promedio,0.009310767894631799
10,tasa_partos,0.0005213449313693153
10,tasa_prematurez,0.2853452593093612
10,cv_estancia,0.003038171926079441
10,pct_estancia_larga,0.003038171926079441
11,egresos_por_anio,0.12088288801906504
11,estancia_media,0.008157163603920041
11,estancia_mediana,0.0017448175056676257
11,peso_medio_grd,7.845256570599366e-06
11,severidad_media,0.008187752590578292
11,mortalidad_media,0.00044245863717139313
11,entropia_grd,0.04349565582320644
11,comorbilidades_promedio,0.05180691484261903
11,tasa_cma,0.24697527789161833
11,peso_medio_cma,0.007607542294469419
11,pct_pediatrico,1.1936487123348044e-07
11,pct_geriatrico,1.1936487123348044e-07
11,pct_femenino_fertil,0.0019323032232918238
11,edad_mediana,1.1936487123348044e-07
11,pct_urgencia,0.0021794293730179426
11,pct_programada,1.7534505158296726e-05
11,pct_obstetrica_ingreso,0.00349883758754019
11,pct_alta_domicilio,0.011281517230422337
11,pct_alta_fallecido,7.171637193744488e-07
11,pct_alta_traslado,0.4855293410219932
11,pct_origen_emergencia,0.0005517439067907654
11,pct_origen_referencia,0.04428203738176115
11,pct_uso_pabellon,0.00349883758754019
11,pabellones_promedio,0.00349883758754019
11,tasa_partos,0.008187752590578292
11,tasa_prematurez,0.09234194157212967
11,cv_estancia,0.012685093550989042
11,pct_estancia_larga,0.009286911240568492
12,egresos_por_anio,0.1004073306532056
12,estancia_media,0.0003182389538886342
12,estancia_mediana,4.902785272697167e-05
12,peso_medio_grd,4.902785272697167e-05
12,severidad_media,4.902785272697167e-05
12,mortalidad_media,3.3035211474707305e-05
12,entropia_grd,0.034458883053923896
12,comorbilidades_promedio,0.0003182389538886342
12,tasa_cma,0.015253430025718032
12,peso_medio_cma,0.0003493965510199461
12,pct_pediatrico,5.628709788516338e-08
12,pct_geriatrico,5.628709788516338e-08
12,pct_femenino_fertil,3.3035211474707305e-05
12,edad_mediana,1.6526777489930284e-08
12,pct_urgencia,0.003506212830059465
12,pct_programada,0.0002139310617843916
