K_sub,replica,n_sub,silhouette,ari_vs_referencia,nmi_vs_referencia
9,44,43,0.13897760878637175,0.51388971964214,0.7805432692237279
9,45,43,0.08981046264941518,0.7945163916603035,0.8879706068614325
9,46,43,0.12545119497237958,0.3836471683253383,0.6739947078539016
9,47,43,0.11716847492900495,0.5732294952276253,0.7672304678771141
9,48,43,0.09170420347031283,0.5051801398100018,0.7852754111382246
9,49,43,0.10467077630443349,0.34033662556250366,0.6555648873586343
9,50,43,0.09560212808205898,0.336727094661457,0.682204315048525
9,51,43,0.09227487979559824,0.5605462040535898,0.7609203391167346
9,52,43,0.11891163225205104,0.3786707649655713,0.6582306519499086
9,53,43,0.09613279027283289,0.6107998275968228,0.788875285694732
9,54,43,0.09131451003251233,0.5753857991706921,0.779301943032765
9,55,43,0.09856612762971553,0.8143320728404001,0.8628870190341047
9,56,43,0.10773783581871814,0.768637183435401,0.8806088077244962
9,57,43,0.1172816097753252,0.6793858842351572,0.7660902374273556
9,58,43,0.13247795533302675,0.8214490843180641,0.8876126723793569
9,59,43,0.11451155804124592,0.46312830021363216,0.7287485856817518
9,60,43,0.11597655495977773,0.46448339483394835,0.7289052969285448
9,61,43,0.09528520225146375,0.7093064091308166,0.8441396605391956
9,62,43,0.09782259461980854,0.4673430564362714,0.7682456134234902
9,63,43,0.10786998388253494,0.6368891882999891,0.8269004114079384
9,64,43,0.11762927649781628,0.5385270569530407,0.7207056768527478
9,65,43,0.10697510038307698,0.48562809888700115,0.725887325144775
9,66,43,0.11325354069515763,0.7092590037256796,0.8457173324818164
9,67,43,0.09454742825262161,0.49637036744265706,0.6896361702238316
9,68,43,0.10964133987263146,0.4547780036227375,0.7478052588220746
9,69,43,0.12287834528025067,0.580836440411482,0.7803722028571713
9,70,43,0.0865685821064647,0.3571966302204696,0.6846494958044035
9,71,43,0.10929872747493258,0.3749892491614346,0.6723981129306071
9,72,43,0.10099077309663748,0.6034400731930467,0.7906471121312829
9,73,43,0.09768002997340747,0.632733423920579,0.7919589977752777
9,74,43,0.10061330547286369,0.8881478023077436,0.9230871404753013
9,75,43,0.08065181658245564,0.49487931494173554,0.740279111094412
9,76,43,0.12071677266206221,0.518245383769186,0.7777842439507363
9,77,43,0.09792220581992475,0.3573461964257473,0.6935575252396058
9,78,43,0.11425672015664001,0.3608131686797506,0.6709135220856515
9,79,43,0.12438059333925283,0.47230061836055176,0.7437742851536665
9,80,43,0.10224448443745614,0.7092031755366068,0.8271426691607174
9,81,43,0.12110942167120425,0.5583797341134348,0.8396735376778593
9,82,43,0.113016715831641,0.8198998876289713,0.8830808814279933
9,83,43,0.08526355067606815,0.6484519012931702,0.7849438514112508
9,84,43,0.10171543475295045,0.6897059545432233,0.819739079713913
9,85,43,0.09779464775687287,0.5132741227011633,0.7467207071004338
9,86,43,0.09338520558497569,0.4440052113078241,0.754241073549156
9,87,43,0.0971907483146443,0.6438198275729587,0.7985491685309967
9,88,43,0.13539284362434567,0.7996005326231691,0.8877884139834143
9,89,43,0.12434261349988478,0.580377888294559,0.7677907488934099
9,90,43,0.11726455556974727,0.48856664807585054,0.7445401537158757
9,91,43,0.07672179887432753,0.6482567349291839,0.8278176695443055
9,92,43,0.11073894611177992,0.6267880364109233,0.7828326417232221
9,93,43,0.11827346199290106,0.6162712872759724,0.7796735634133535
9,94,43,0.11199726648672444,0.5946483986181861,0.8128473787957505
9,95,43,0.0984158893650051,0.5661695525973376,0.7490496317350783
9,96,43,0.09261747752745395,0.4377410554701954,0.7147218088068428
9,97,43,0.0837399851120551,0.5252625929617419,0.7806584790840191
9,98,43,0.10641796768978269,0.5455186020293122,0.7667812731183645
9,99,43,0.09409261860820937,0.36630438694353473,0.6580766319801709
9,100,43,0.12193022135338473,0.6574418475545439,0.7966889097492694
